"filename", "language", "PHP", "JavaScript", "HTML", "Markdown", "CSS", "XML", "SCSS", "JSON", "YAML", "comment", "blank", "total"
"c:\laragon\www\grado\public\images\logo-mini.svg", "XML", 0, 0, 0, 0, 0, 13, 0, 0, 0, 1, 0, 14
"c:\laragon\www\grado\public\images\logo.svg", "XML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 1, 0, 19
"c:\laragon\www\grado\public\index.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 39, 12, 61
"c:\laragon\www\grado\public\js\alerts.js", "JavaScript", 0, 96, 0, 0, 0, 0, 0, 0, 0, 1, 5, 102
"c:\laragon\www\grado\public\js\avgrund.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21
"c:\laragon\www\grado\public\js\bt-maxLength.js", "JavaScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 3, 31
"c:\laragon\www\grado\public\js\c3.js", "JavaScript", 0, 205, 0, 0, 0, 0, 0, 0, 0, 1, 12, 218
"c:\laragon\www\grado\public\js\calendar.js", "JavaScript", 0, 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73
"c:\laragon\www\grado\public\js\chart.js", "JavaScript", 0, 330, 0, 0, 0, 0, 0, 0, 0, 7, 15, 352
"c:\laragon\www\grado\public\js\chartist.js", "JavaScript", 0, 191, 0, 0, 0, 0, 0, 0, 0, 8, 18, 217
"c:\laragon\www\grado\public\js\clipboard.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"c:\laragon\www\grado\public\js\codeEditor.js", "JavaScript", 0, 117, 0, 0, 0, 0, 0, 0, 0, 2, 2, 121
"c:\laragon\www\grado\public\js\context-menu.js", "JavaScript", 0, 238, 0, 0, 0, 0, 0, 0, 0, 2, 0, 240
"c:\laragon\www\grado\public\js\dashboard.js", "JavaScript", 0, 845, 0, 0, 0, 0, 0, 0, 0, 10, 25, 880
"c:\laragon\www\grado\public\js\data-table.js", "JavaScript", 0, 23, 0, 0, 0, 0, 0, 0, 0, 2, 0, 25
"c:\laragon\www\grado\public\js\db.js", "JavaScript", 0, 895, 0, 0, 0, 0, 0, 0, 0, 0, 12, 907
"c:\laragon\www\grado\public\js\desktop-notification.js", "JavaScript", 0, 65, 0, 0, 0, 0, 0, 0, 0, 1, 14, 80
"c:\laragon\www\grado\public\js\dragula.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16
"c:\laragon\www\grado\public\js\dropify.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"c:\laragon\www\grado\public\js\dropzone.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\laragon\www\grado\public\js\editorDemo.js", "JavaScript", 0, 196, 0, 0, 0, 0, 0, 0, 0, 5, 20, 221
"c:\laragon\www\grado\public\js\file-upload.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"c:\laragon\www\grado\public\js\flot-chart.js", "JavaScript", 0, 455, 0, 0, 0, 0, 0, 0, 0, 30, 78, 563
"c:\laragon\www\grado\public\js\form-addons.js", "JavaScript", 0, 113, 0, 0, 0, 0, 0, 0, 0, 4, 29, 146
"c:\laragon\www\grado\public\js\form-repeater.js", "JavaScript", 0, 19, 0, 0, 0, 0, 0, 0, 0, 19, 0, 38
"c:\laragon\www\grado\public\js\form-validation.js", "JavaScript", 0, 91, 0, 0, 0, 0, 0, 0, 0, 6, 0, 97
"c:\laragon\www\grado\public\js\formpickers.js", "JavaScript", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\laragon\www\grado\public\js\google-charts.js", "JavaScript", 0, 178, 0, 0, 0, 0, 0, 0, 0, 14, 50, 242
"c:\laragon\www\grado\public\js\hoverable-collapse.js", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 0, 0, 1, 0, 25
"c:\laragon\www\grado\public\js\ion-range-slider.js", "JavaScript", 0, 171, 0, 0, 0, 0, 0, 0, 0, 0, 18, 189
